文件名	阶数6上表面	阶数6下表面	阶数6总误差	阶数8上表面	阶数8下表面	阶数8总误差	阶数10上表面	阶数10下表面	阶数10总误差	三阶总和
goe225.csv	0.009685	0.004398	0.014083	0.006981	0.004125	0.011106	0.003133	0.003146	0.006279	0.031468
goe233.csv	0.006576	0.008522	0.015098	0.006098	0.007104	0.013202	0.002855	0.004854	0.007709	0.036010
goe234.csv	0.007983	0.007670	0.015653	0.007348	0.006544	0.013892	0.004693	0.006211	0.010904	0.040449
goe238.csv	0.007357	0.015403	0.022760	0.007261	0.008096	0.015358	0.003888	0.004318	0.008206	0.046324
goe240.csv	0.009883	0.007212	0.017095	0.006044	0.004028	0.010072	0.005936	0.003796	0.009732	0.036899
goe255.csv	0.016338	0.008805	0.025143	0.011764	0.004423	0.016187	0.008677	0.003762	0.012439	0.053768
goe257.csv	0.006738	0.008726	0.015464	0.006861	0.005044	0.011905	0.005595	0.003810	0.009405	0.036774
goe275.csv	0.006233	0.014497	0.020730	0.005362	0.009051	0.014413	0.003838	0.003785	0.007622	0.042765
goe277.csv	0.006600	0.007915	0.014515	0.006623	0.003183	0.009806	0.003770	0.001134	0.004904	0.029226
goe279.csv	0.005599	0.010156	0.015755	0.005363	0.004696	0.010059	0.004297	0.002380	0.006678	0.032492
goe280.csv	0.021675	0.010141	0.031816	0.012783	0.005784	0.018567	0.008499	0.002029	0.010527	0.060910
goe281.csv	0.013472	0.011836	0.025308	0.006324	0.006158	0.012483	0.003050	0.004554	0.007604	0.045395
goe284.csv	0.008038	0.006545	0.014583	0.006989	0.004641	0.011630	0.005945	0.003374	0.009319	0.035532
goe288.csv	0.007114	0.004173	0.011287	0.006100	0.004058	0.010158	0.004158	0.002819	0.006977	0.028422
goe300.csv	0.004930	0.003425	0.008355	0.003244	0.003203	0.006447	0.002186	0.000106	0.002292	0.017095
goe301.csv	0.004699	0.007780	0.012479	0.003692	0.003305	0.006997	0.002654	0.003019	0.005673	0.025149
goe304.csv	0.002706	0.011878	0.014584	0.002508	0.004525	0.007033	0.002593	0.003204	0.005797	0.027414
goe308.csv	0.010133	0.006511	0.016644	0.002828	0.005557	0.008385	0.002512	0.003690	0.006202	0.031231
goe311.csv	0.009133	0.007260	0.016393	0.006790	0.007112	0.013902	0.006651	0.006075	0.012726	0.043022
goe315.csv	0.007794	0.009104	0.016897	0.007093	0.004753	0.011846	0.004129	0.001558	0.005687	0.034430
goe322.csv	0.011067	0.004818	0.015885	0.004726	0.003186	0.007912	0.004421	0.003062	0.007483	0.031279
goe325.csv	0.004735	0.005640	0.010375	0.004555	0.001019	0.005574	0.004333	0.000637	0.004970	0.020920
goe329.csv	0.002181	0.014683	0.016864	0.002209	0.009585	0.011794	0.001497	0.003181	0.004677	0.033335
goe335.csv	0.006151	0.005054	0.011205	0.004564	0.001782	0.006346	0.002322	0.001676	0.003999	0.021549
goe358.csv	0.003460	0.001968	0.005429	0.002357	0.001371	0.003728	0.002658	0.001107	0.003766	0.012923
goe360.csv	0.004855	0.014669	0.019524	0.004026	0.005774	0.009800	0.001572	0.003076	0.004648	0.033972
goe361.csv	0.004234	0.007819	0.012053	0.003293	0.005220	0.008513	0.003029	0.002929	0.005958	0.026524
goe370.csv	0.002979	0.005052	0.008031	0.002081	0.004062	0.006143	0.002355	0.002886	0.005241	0.019414
goe372.csv	0.010995	0.002126	0.013121	0.002594	0.001558	0.004152	0.002311	0.000893	0.003204	0.020476
goe373.csv	0.012359	0.016482	0.028840	0.008143	0.010712	0.018855	0.005137	0.006552	0.011689	0.059384
goe380.csv	0.010503	0.007291	0.017794	0.003500	0.006452	0.009953	0.002392	0.003653	0.006046	0.033793
goe385.csv	0.005805	0.007644	0.013449	0.006142	0.003488	0.009629	0.003066	0.001382	0.004448	0.027526
goe386.csv	0.008264	0.008308	0.016573	0.007192	0.007419	0.014611	0.005832	0.007255	0.013088	0.044271
goe388.csv	0.070952	0.007869	0.078822	0.073109	0.004832	0.077941	0.062725	0.002641	0.065366	0.222129
goe391.csv	0.003328	0.005196	0.008524	0.003043	0.002490	0.005533	0.002307	0.001197	0.003504	0.017562
goe396.csv	0.012500	0.002946	0.015446	0.006678	0.002772	0.009451	0.001998	0.002420	0.004418	0.029314
goe399.csv	0.004659	0.003445	0.008104	0.003159	0.002742	0.005901	0.002847	0.001764	0.004611	0.018615
goe404.csv	0.007239	0.003909	0.011148	0.007187	0.003098	0.010285	0.004787	0.002323	0.007109	0.028542
goe408.csv	0.006498	0.005993	0.012491	0.003932	0.004711	0.008642	0.002625	0.003573	0.006198	0.027332
goe412.csv	0.006731	0.004231	0.010963	0.004086	0.004189	0.008275	0.003324	0.003407	0.006732	0.025970
goe413.csv	0.007654	0.012243	0.019897	0.006917	0.007060	0.013978	0.005341	0.005928	0.011269	0.045144
goe418.csv	0.006644	0.009285	0.015929	0.005656	0.006177	0.011833	0.005288	0.002481	0.007769	0.035531
goe419.csv	0.015381	0.013710	0.029091	0.014115	0.013650	0.027765	0.014022	0.011748	0.025770	0.082626
goe421.csv	0.016184	0.004524	0.020709	0.012370	0.004278	0.016648	0.002759	0.004536	0.007294	0.044650
goe422.csv	0.011666	0.005692	0.017359	0.008102	0.003834	0.011935	0.005155	0.001829	0.006984	0.036278
goe425.csv	0.006421	0.006413	0.012833	0.004670	0.005254	0.009924	0.003168	0.004458	0.007626	0.030384
goe427.csv	0.014391	0.013018	0.027409	0.013729	0.013027	0.026756	0.013011	0.012082	0.025093	0.079258
goe428.csv	0.006645	0.004149	0.010795	0.005765	0.003552	0.009317	0.002845	0.003517	0.006361	0.026473
goe433.csv	0.008922	0.008714	0.017636	0.008375	0.004436	0.012812	0.007858	0.002720	0.010578	0.041026
goe435.csv	0.018602	0.021110	0.039712	0.017239	0.017166	0.034405	0.013469	0.017507	0.030976	0.105092
goe438.csv	0.003877	0.005717	0.009595	0.003683	0.005053	0.008736	0.003124	0.004885	0.008009	0.026339
goe440.csv	0.051725	0.006879	0.058604	0.029824	0.005127	0.034951	0.027683	0.004753	0.032437	0.125992
goe441.csv	0.010160	0.005408	0.015569	0.008065	0.005332	0.013398	0.004455	0.002247	0.006703	0.035669
goe442.csv	0.007903	0.005656	0.013558	0.004239	0.003668	0.007907	0.002385	0.002227	0.004612	0.026077
goe446.csv	0.011416	0.004038	0.015453	0.005413	0.003277	0.008689	0.002997	0.003083	0.006080	0.030222
goe449.csv	0.005828	0.002974	0.008802	0.002418	0.002584	0.005002	0.002390	0.002764	0.005155	0.018959
goe451.csv	0.058471	0.007268	0.065739	0.051436	0.005549	0.056985	0.056772	0.004240	0.061012	0.183736
goe456.csv	0.010885	0.003694	0.014580	0.001327	0.002638	0.003965	0.000847	0.002433	0.003281	0.021825
goe460.csv	0.003946	0.003946	0.007891	0.003553	0.003553	0.007105	0.002916	0.002916	0.005831	0.020828
goe464.csv	0.007020	0.045435	0.052455	0.005191	0.022672	0.027863	0.002549	0.015979	0.018529	0.098846
goe480.csv	0.001637	0.002821	0.004458	0.001468	0.002375	0.003843	0.000000	0.000000	0.000000	0.008301
goe481.csv	0.010943	0.090294	0.101236	0.006623	0.062265	0.068888	0.003697	0.047403	0.051100	0.221224
goe481a.csv	0.014843	0.005640	0.020483	0.010464	0.005166	0.015630	0.006194	0.004553	0.010747	0.046860
goe492.csv	0.004273	0.009538	0.013811	0.002961	0.004217	0.007177	0.001727	0.002095	0.003822	0.024810
goe493.csv	0.004863	0.006997	0.011859	0.004090	0.002807	0.006897	0.003877	0.001400	0.005277	0.024033
goe494.csv	0.004752	0.008646	0.013398	0.003967	0.003196	0.007163	0.001731	0.001606	0.003337	0.023898
goe496.csv	0.002781	0.003721	0.006502	0.001431	0.002937	0.004368	0.000778	0.002009	0.002787	0.013658
goe499.csv	0.008146	0.005829	0.013975	0.003472	0.004396	0.007868	0.002507	0.002170	0.004677	0.026520
goe500.csv	0.003196	0.003522	0.006718	0.003086	0.003669	0.006755	0.001761	0.001607	0.003367	0.016840
goe501.csv	0.007207	0.004820	0.012027	0.004971	0.004597	0.009568	0.003488	0.003855	0.007344	0.028938
goe507.csv	0.001679	0.002168	0.003847	0.001651	0.002129	0.003780	0.000000	0.000000	0.000000	0.007627
goe509.csv	0.010309	0.004763	0.015072	0.007338	0.002771	0.010110	0.007115	0.001914	0.009029	0.034211
goe511.csv	0.005250	0.011364	0.016614	0.004925	0.005018	0.009944	0.003964	0.004234	0.008198	0.034756
goe517.csv	0.002805	0.002684	0.005489	0.001847	0.001797	0.003644	0.000000	0.000000	0.000000	0.009133
goe523.csv	0.006717	0.005658	0.012375	0.006650	0.001924	0.008574	0.005056	0.001577	0.006633	0.027582
goe526.csv	0.004254	0.002752	0.007007	0.002762	0.002217	0.004979	0.002425	0.001763	0.004189	0.016175
goe530.csv	0.011381	0.006611	0.017992	0.005754	0.005726	0.011480	0.002435	0.005514	0.007949	0.037421
goe532.csv	0.006820	0.006672	0.013492	0.006804	0.002792	0.009596	0.004662	0.000865	0.005527	0.028615
goe547.csv	0.005491	0.006535	0.012026	0.004354	0.002769	0.007123	0.002954	0.002367	0.005322	0.024471
goe55.csv	0.007905	0.005715	0.013620	0.004438	0.002064	0.006502	0.004250	0.001920	0.006169	0.026291
goe550.csv	0.003178	0.004709	0.007887	0.002794	0.004083	0.006877	0.001785	0.004107	0.005891	0.020656
goe553.csv	0.006102	0.003699	0.009800	0.004474	0.002664	0.007138	0.004146	0.001555	0.005701	0.022640
goe566.csv	0.003422	0.003240	0.006662	0.003020	0.002404	0.005425	0.002881	0.000871	0.003752	0.015839
goe570.csv	0.004513	0.015655	0.020168	0.000000	0.013925	0.013925	0.000000	0.011871	0.011871	0.045964
goe572.csv	0.013686	0.003764	0.017450	0.011546	0.002560	0.014107	0.010410	0.001387	0.011797	0.043354
goe573.csv	0.007136	0.005962	0.013099	0.002598	0.002985	0.005583	0.002245	0.002755	0.005000	0.023682
goe574.csv	0.008989	0.004583	0.013572	0.004313	0.004041	0.008353	0.003992	0.002214	0.006206	0.028131
goe585.csv	0.002144	0.003000	0.005144	0.001995	0.002447	0.004443	0.001258	0.001394	0.002652	0.012239
goe598.csv	0.003087	0.003180	0.006268	0.003010	0.003140	0.006151	0.002191	0.003167	0.005358	0.017777
goe600.csv	0.004817	0.005113	0.009930	0.004782	0.003992	0.008774	0.002754	0.003501	0.006255	0.024959
goe604.csv	0.008142	0.002430	0.010573	0.004658	0.002091	0.006749	0.004514	0.002138	0.006651	0.023973
goe617.csv	0.006773	0.003581	0.010354	0.004273	0.003420	0.007693	0.002380	0.003206	0.005586	0.023632
goe619.csv	0.010736	0.003591	0.014327	0.009845	0.003073	0.012918	0.009208	0.003101	0.012309	0.039554
goe623.csv	0.007083	0.002633	0.009715	0.003101	0.002422	0.005524	0.001784	0.002153	0.003937	0.019176
goe625.csv	0.011436	0.006626	0.018061	0.008596	0.004029	0.012625	0.006152	0.003195	0.009346	0.040032
goe626.csv	0.011354	0.009557	0.020911	0.009680	0.005953	0.015632	0.008651	0.005115	0.013766	0.050309
goe632.csv	0.010249	0.004132	0.014381	0.007911	0.002118	0.010029	0.002428	0.001261	0.003690	0.028099
goe652.csv	0.002827	0.005789	0.008617	0.002813	0.005015	0.007828	0.002664	0.004342	0.007007	0.023452
goe673.csv	0.002039	0.003551	0.005590	0.001618	0.001316	0.002934	0.001361	0.001184	0.002545	0.011069
goe675.csv	0.006588	0.003344	0.009933	0.005711	0.003184	0.008896	0.005123	0.001856	0.006979	0.025807
goe679.csv	0.010233	0.005276	0.015509	0.005744	0.004529	0.010273	0.004825	0.003381	0.008206	0.033988
goe683.csv	0.008360	0.003639	0.011999	0.006391	0.003437	0.009827	0.003396	0.003455	0.006851	0.028677
goe685.csv	0.006428	0.004604	0.011032	0.006222	0.002209	0.008431	0.004282	0.001911	0.006193	0.025656
goe701.csv	0.006863	0.005456	0.012318	0.002865	0.003119	0.005984	0.002753	0.002595	0.005348	0.023650
goe702.csv	0.005682	0.004039	0.009720	0.004653	0.003344	0.007998	0.002052	0.001841	0.003893	0.021611
goe703.csv	0.005050	0.007544	0.012594	0.003293	0.004257	0.007550	0.002813	0.001914	0.004726	0.024870
goe746.csv	0.010603	0.008304	0.018907	0.002801	0.004690	0.007491	0.002653	0.002421	0.005073	0.031471
goe765.csv	0.048166	0.020188	0.068355	0.048191	0.020185	0.068376	0.048216	0.020181	0.068397	0.205128
goe767.csv	0.004132	0.003708	0.007840	0.002487	0.001678	0.004166	0.002160	0.001164	0.003324	0.015330
goe775.csv	0.002209	0.002214	0.004423	0.001233	0.001200	0.002434	0.000534	0.000510	0.001044	0.007900
goe780.csv	0.006578	0.004484	0.011062	0.005966	0.004605	0.010571	0.004006	0.002601	0.006607	0.028241
goe795.csv	0.013028	0.006748	0.019776	0.012509	0.004427	0.016936	0.006681	0.004267	0.010948	0.047660
goe795sm.csv	0.009097	0.007435	0.016531	0.006363	0.003153	0.009516	0.002915	0.002334	0.005249	0.031296
goe797.csv	0.005317	0.001163	0.006480	0.003735	0.000986	0.004721	0.000144	0.000392	0.000536	0.011737
goe798.csv	0.007392	0.003287	0.010679	0.005107	0.002954	0.008061	0.002136	0.002035	0.004171	0.022911
goe802a.csv	0.008731	0.180814	0.189544	0.005768	0.164713	0.170480	0.003805	0.155894	0.159699	0.519724
goe81.csv	0.008015	0.015480	0.023495	0.007356	0.007082	0.014438	0.004452	0.002337	0.006789	0.044722
hh02.csv	0.030714	0.022556	0.053270	0.020467	0.011996	0.032463	0.012967	0.005908	0.018875	0.104608
hq108.csv	0.007523	0.005015	0.012538	0.004966	0.004165	0.009131	0.004453	0.003749	0.008202	0.029871
hq109.csv	0.008235	0.006571	0.014806	0.005380	0.004515	0.009894	0.004799	0.004400	0.009198	0.033899
hq258.csv	0.014867	0.004217	0.019084	0.008995	0.004129	0.013123	0.005991	0.003743	0.009734	0.041941
hq259.csv	0.016414	0.005035	0.021450	0.010028	0.004734	0.014762	0.006826	0.004270	0.011096	0.047307
hq3010.csv	0.010680	0.006016	0.016696	0.006944	0.005988	0.012931	0.005108	0.005065	0.010174	0.039801
hq3012.csv	0.010652	0.007120	0.017772	0.007119	0.006989	0.014108	0.005359	0.005958	0.011317	0.043197
hq3013.csv	0.011792	0.009495	0.021287	0.007175	0.008646	0.015821	0.005907	0.006484	0.012391	0.049499
hs1430.csv	0.015411	0.025156	0.040567	0.015272	0.013887	0.029159	0.013200	0.005655	0.018855	0.088581
hs1620.csv	0.013055	0.023444	0.036498	0.013498	0.014616	0.028114	0.009634	0.005924	0.015558	0.080170
hsnlf213.csv	0.019988	0.029448	0.049436	0.013225	0.024709	0.037935	0.004530	0.016440	0.020970	0.108341
ht05.csv	0.041940	0.041677	0.083617	0.029544	0.029672	0.059216	0.027021	0.026862	0.053883	0.196717
ht33.csv	0.006161	0.005976	0.012137	0.003313	0.003150	0.006463	0.002380	0.002238	0.004618	0.023217
isa962.csv	0.051415	0.053387	0.104802	0.046557	0.049582	0.096139	0.045446	0.044136	0.089582	0.290523
joukowsk.csv	0.000905	0.000905	0.001810	0.000389	0.000389	0.000778	0.000197	0.000196	0.000393	0.002981
jx-gs-10.csv	0.012450	0.002589	0.015039	0.007256	0.001846	0.009102	0.005330	0.001483	0.006812	0.030954
k3.csv	0.055109	0.058396	0.113505	0.055087	0.034164	0.089252	0.042427	0.021291	0.063719	0.266475
k3311sm.csv	0.009784	0.009103	0.018887	0.004352	0.004779	0.009131	0.002347	0.002361	0.004707	0.032725
l188root.csv	0.004452	0.010682	0.015135	0.001208	0.005836	0.007045	0.001018	0.003442	0.004460	0.026640
la2573a.csv	0.013014	0.035745	0.048759	0.011543	0.013016	0.024560	0.004355	0.006189	0.010545	0.083863
lrn1015.csv	0.021224	0.006106	0.027330	0.021626	0.003156	0.024782	0.018395	0.002183	0.020578	0.072689
ls413mod.csv	0.005509	0.009059	0.014568	0.004410	0.005531	0.009941	0.004096	0.004865	0.008961	0.033470
ls417.csv	0.007835	0.020174	0.028009	0.004416	0.011238	0.015654	0.003281	0.009795	0.013076	0.056739
lwk80100.csv	0.008429	0.008175	0.016604	0.005353	0.005242	0.010595	0.004897	0.004848	0.009745	0.036944
lwk80120k25.csv	0.008515	0.008515	0.017030	0.005051	0.005051	0.010101	0.004698	0.004698	0.009397	0.036528
lwk80150k25.csv	0.007438	0.007438	0.014876	0.006701	0.006701	0.013401	0.005699	0.005699	0.011397	0.039674
m10.csv	0.000887	0.003416	0.004303	0.000780	0.000798	0.001578	0.000404	0.000072	0.000476	0.006358
m12.csv	0.001066	0.003043	0.004109	0.000908	0.001867	0.002775	0.000366	0.001523	0.001889	0.008773
m13.csv	0.002512	0.006039	0.008551	0.001556	0.004521	0.006077	0.000651	0.004121	0.004772	0.019400
m14.csv	0.002204	0.007237	0.009441	0.001532	0.004632	0.006164	0.001103	0.002022	0.003125	0.018730
m17.csv	0.005322	0.005855	0.011177	0.000950	0.003403	0.004353	0.000916	0.001447	0.002363	0.017893
m18.csv	0.004240	0.006846	0.011086	0.002435	0.003034	0.005469	0.001962	0.001932	0.003894	0.020449
ma409.csv	0.051989	0.060246	0.112235	0.049514	0.053052	0.102566	0.046689	0.045420	0.092109	0.306909
marsden.csv	0.183213	0.200371	0.383585	0.165556	0.186429	0.351985	0.152057	0.181421	0.333478	1.069048
marske3.csv	0.005672	0.003302	0.008975	0.003567	0.002496	0.006063	0.001212	0.001468	0.002679	0.017717
marske7.csv	0.013947	0.012246	0.026193	0.006838	0.007279	0.014117	0.002973	0.004322	0.007296	0.047606
mb253515sm.csv	0.004202	0.009702	0.013904	0.002650	0.005228	0.007878	0.002170	0.002386	0.004555	0.026337
mh108.csv	0.015180	0.015296	0.030476	0.012295	0.009280	0.021574	0.007812	0.006821	0.014633	0.066683
mh112.csv	0.012274	0.047437	0.059711	0.008967	0.034083	0.043050	0.008076	0.025442	0.033518	0.136279
mh114.csv	0.013832	0.020163	0.033994	0.008480	0.015322	0.023801	0.005675	0.013225	0.018900	0.076696
mh116.csv	0.014253	0.004953	0.019206	0.010307	0.003469	0.013775	0.006831	0.002291	0.009123	0.042104
mh22.csv	0.012685	0.008549	0.021233	0.011244	0.005652	0.016896	0.007039	0.003877	0.010916	0.049045
mh32.csv	0.014709	0.004731	0.019439	0.009528	0.003513	0.013041	0.007039	0.002617	0.009656	0.042136
mh42.csv	0.010764	0.007432	0.018196	0.007890	0.004552	0.012443	0.005712	0.003317	0.009029	0.039667
mh45.csv	0.012429	0.005628	0.018057	0.009094	0.002457	0.011551	0.006900	0.001664	0.008564	0.038172
mh70.csv	0.013911	0.009398	0.023308	0.009906	0.008604	0.018510	0.007953	0.007647	0.015600	0.057418
mh78.csv	0.015065	0.038360	0.053425	0.012138	0.028337	0.040474	0.011909	0.021640	0.033549	0.127449
mh91.csv	0.008825	0.014829	0.023655	0.005929	0.013645	0.019575	0.004583	0.012181	0.016764	0.059994
mh94.csv	0.015985	0.019807	0.035791	0.013787	0.017148	0.030935	0.010201	0.014669	0.024870	0.091596
mh95.csv	0.012833	0.010271	0.023104	0.011483	0.007077	0.018560	0.008598	0.005472	0.014069	0.055734
